date,City/Place,district,urban_tier,country,property_type,furnishing_status,price,bedrooms,bathrooms,floors,sqft_living,sqft_ground_floor,sqft_above_ground_floor,area_cents,yr_built,yr_renovated,view,condition,distance_city_center_km,distance_school_km,distance_hospital_km,parking,builder_reputation_score,place,nearest_it_park_distance_km,nearest_airport_distance_km,nearest_bus_station_distance_km,nearest_mall_distance_km,school_rating,hospital_rating,crime_index,future_development_score,latitude,longitude
2023-10-30,Thrissur,Thiruvananthapuram,1,India,Independent House,Fully Furnished,46674571,6,5.0,3,4404,1468,2936,31.1,2018,0,1.0,5,1.1,1.2,0.6,No,7.4,Technopark,38.8,58.8,3.6,24.3,5.6,8.9,6.3,3.3,8.544377,76.856801
2024-12-03,Kollam,Idukki,1,India,Apartment,Semi-Furnished,13681824,3,3.0,1,2335,2335,0,16.41,2017,0,1.0,3,5.2,4.0,4.9,Yes,6.3,Kattappana,22.2,52.3,11.0,4.1,6.4,7.1,9.2,9.2,9.910036,77.045245
2023-09-20,Thiruvananthapuram,Palakkad,1,India,Villa,Unfurnished,13802015,3,3.0,2,2208,1104,1104,24.04,1998,0,1.0,2,5.4,4.0,5.0,Yes,7.7,Palakkad,43.0,58.6,0.4,4.1,3.4,9.0,8.6,2.3,10.623917,76.545826
2025-04-29,Kottayam,Ernakulam,1,India,Apartment,Semi-Furnished,11996888,3,3.0,1,2326,2326,0,25.68,1991,0,1.0,4,3.4,3.8,3.0,Yes,9.2,Palarivattom,35.0,33.8,11.5,29.9,5.5,8.5,7.9,5.2,9.990227,76.264701
2023-08-11,Thiruvananthapuram,Thrissur,1,India,Independent House,Semi-Furnished,22174093,4,4.0,1,2861,2861,0,15.21,1997,0,3.0,5,4.8,4.0,4.3,No,6.1,Chavakkad,5.2,63.2,11.7,20.3,5.9,4.3,6.1,8.9,10.518656,76.141756
2023-02-07,Kottayam,Thrissur,1,India,Apartment,Semi-Furnished,15514399,4,3.0,1,2500,2500,0,23.49,1996,2006,1.0,3,3.7,3.4,3.7,Yes,6.1,Kodungallur,48.8,14.1,8.3,19.0,6.4,8.7,5.6,3.9,10.590352,76.272223
2023-04-10,Kottayam,Alappuzha,1,India,Independent House,Semi-Furnished,26366808,6,5.0,3,4569,1523,3046,33.1,2001,0,2.0,2,3.1,2.6,2.8,Yes,9.3,Alappuzha,38.2,63.9,16.5,17.9,6.4,3.1,4.1,2.4,9.495282,76.420179
2023-06-24,Kozhikode,Kozhikode,1,India,Independent House,Unfurnished,19475416,3,3.0,2,2116,1058,1058,16.83,2007,0,2.0,2,4.6,4.0,4.6,Yes,7.9,Feroke,39.4,75.3,18.6,4.9,9.8,9.8,4.1,8.8,11.297401,75.711257
2023-07-03,Alappuzha,Kannur,1,India,Independent House,Unfurnished,17304687,4,4.0,1,3112,3112,0,17.52,1994,0,0.0,3,6.0,4.0,5.0,Yes,5.7,Kannur,6.8,68.9,10.8,8.3,9.2,4.8,2.5,1.4,11.8995,75.293289
2023-08-01,Alappuzha,Kannur,1,India,Apartment,Unfurnished,14229051,4,3.0,1,2500,2500,0,24.71,2025,0,2.0,2,3.6,3.9,3.1,No,7.5,Iritty,22.8,59.7,13.5,13.3,7.9,5.1,4.2,9.5,11.940276,75.366006
2023-04-10,Palakkad,Pathanamthitta,1,India,Independent House,Fully Furnished,27548994,6,5.0,1,4836,4836,0,28.1,2000,2025,3.0,2,2.7,3.0,2.9,No,5.7,Pandalam,18.9,52.8,3.1,13.7,9.8,5.3,8.0,4.0,9.245211,76.735526
2023-12-10,Thrissur,Palakkad,1,India,Independent House,Semi-Furnished,8009113,2,2.0,1,1056,1056,0,18.34,2012,0,3.0,4,2.1,1.9,1.8,Yes,5.7,Ottapalam,46.4,42.6,20.0,29.1,5.3,9.6,6.1,1.6,10.877803,76.637638
2025-06-16,Kochi,Thiruvananthapuram,1,India,Independent House,Semi-Furnished,55142407,6,5.0,2,4735,2368,2367,33.61,2024,0,4.0,2,2.1,2.6,1.9,Yes,6.9,Sreekaryam,32.4,32.8,17.2,1.8,5.1,7.6,5.3,5.2,8.485734,76.911829
2024-10-30,Kollam,Thrissur,1,India,Independent House,Unfurnished,8229164,2,1.0,1,1345,1345,0,10.43,2015,0,4.0,2,1.4,1.0,1.0,Yes,3.1,Kunnamkulam,41.2,69.5,19.0,0.9,6.3,5.0,8.5,3.8,10.562585,76.239236
